ExerciseDate,ExerciseActivityName,ExerciseActiveDuration,ExerciseAverageHeartRate,ExerciseCalories,ExerciseDuration,ExerciseElevationGain,ExerciseSteps,ExerciseSedentaryMinutes,ExerciseLightMinutes,ExerciseFairlyActiveMinutes,ExerciseVeryActiveMinutes,ExerciseOutOfRangeMaxHR,ExerciseOutOfRangeMinHR,ExerciseOutOfRangeMinutes,ExerciseFatBurnMaxHR,ExerciseFatBurnMinHR,ExerciseFatBurnMinutes,ExerciseCardioMaxHR,ExerciseCardioMinHR,ExerciseCardioMinutes,ExercisePeakMaxHR,ExercisePeakMinHR,ExercisePeakMinutes,Speed,Pace,ExerciseDistance,Year,Month,Day,YearMonthDay
2018-10-02 21:50:05,Weights,2291000,114,360,2293000,32.998688,799,2,1,7,28,96,30,4,135,96,30,164,135,4,220,164,0,0.0,0.0,0.0,2018,10,2,2018-10-02
2018-10-04 21:19:26,Weights,2376000,99,272,2380000,16.000656,649,3,12,10,14,96,30,17,135,96,23,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,4,2018-10-04
2018-10-05 22:31:45,Walk,1740000,95,247,1740000,150.0,2598,2,2,2,23,96,30,12,135,96,17,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,5,2018-10-05
2018-10-06 14:05:34,Walk,1741000,86,182,1741000,0.0,1582,7,4,6,12,96,30,18,135,96,11,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,6,2018-10-06
2018-10-06 15:31:37,Run,2553000,158,669,3238000,142.001313,6862,1,0,0,41,96,30,0,135,96,1,164,135,28,220,164,13,7.097334430082256,507.232685096717,5.020247,2018,10,6,2018-10-06
2018-10-07 14:09:56,Walk,922000,85,125,922000,20.0,1391,0,2,2,11,96,30,12,135,96,4,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,7,2018-10-07
2018-10-08 21:26:10,Weights,2805000,118,463,2879000,40.0,778,0,2,5,39,96,30,5,135,96,35,164,135,7,220,164,0,0.0,0.0,0.0,2018,10,8,2018-10-08
2018-10-09 21:20:43,Weights,3171000,124,590,3173000,21.000656,1167,0,0,6,47,96,30,0,135,96,38,164,135,15,220,164,0,0.0,0.0,0.0,2018,10,9,2018-10-09
2018-10-09 23:21:51,Walk,1075000,97,151,1075000,40.0,1562,0,0,3,14,96,30,6,135,96,12,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,9,2018-10-09
2018-10-10 00:14:45,Walk,973000,100,146,973000,50.0,1519,0,0,2,14,96,30,4,135,96,12,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,10,2018-10-10
2018-10-11 13:38:54,Walk,973000,98,148,973000,10.0,1550,0,0,4,12,96,30,6,135,96,11,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,11,2018-10-11
2018-10-11 21:16:34,Weights,2944000,112,429,2947000,27.001312,952,6,3,9,31,96,30,13,135,96,33,164,135,3,220,164,0,0.0,0.0,0.0,2018,10,11,2018-10-11
2018-10-13 13:08:46,Run,1975000,158,539,2752000,106.000656,5358,0,0,0,33,96,30,0,135,96,2,164,135,17,220,164,14,7.358159392405064,489.25278836930926,4.019062,2018,10,13,2018-10-13
2018-10-14 00:39:32,Walk,1996000,94,271,1996000,50.0,2628,2,2,7,22,96,30,18,135,96,15,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,14,2018-10-14
2018-10-14 03:25:54,Walk,1075000,79,136,1075000,30.0,1534,0,2,7,9,96,30,18,135,96,0,164,135,0,220,164,0,0.0,0.0,0.0,2018,10,14,2018-10-14
