Date,demographicVO2Max
2019-04-15,49.82470000000001
2019-04-16,50.104440000000004
2019-04-17,50.26552
2019-04-18,50.053290000000004
2019-04-19,50.083580000000005
2019-04-20,49.64356
2019-04-21,49.69516
2019-04-22,49.572390000000006
2019-04-23,49.806670000000004
2019-04-24,50.094060000000006
2019-04-25,50.259550000000004
2019-04-26,50.35483000000001
2019-04-27,50.4097
2019-04-28,50.13631
2019-04-29,50.28387000000001
2019-04-30,50.063860000000005
2019-05-01,50.39464
2019-05-02,50.43262000000001
2019-05-03,50.45449000000001
2019-05-04,50.46708
2019-05-05,50.62682
2019-05-06,50.56631
2019-05-07,50.226490000000005
2019-05-08,49.878330000000005
2019-05-09,49.98284
2019-05-10,50.1955
2019-05-11,50.31795
2019-05-12,50.083490000000005
2019-05-13,50.25345
2019-05-14,49.952830000000006
2019-05-15,50.33071
2019-05-16,49.938340000000004
2019-05-17,49.712410000000006
2019-05-18,49.8873
2019-05-19,49.98800000000001
2019-05-20,49.74101
2019-05-21,49.59879
2019-05-22,49.635960000000004
2019-06-13,49.322300000000006
2019-06-14,49.62023000000001
2019-06-15,49.870580000000004
2019-06-16,50.144940000000005
2019-06-17,50.1362
2019-06-18,50.13129000000001
2019-06-19,49.9757
2019-06-20,49.336850000000005
2019-06-21,49.36779000000001
2019-06-22,49.53961
2019-06-23,49.78938
2019-06-24,49.77910000000001
2019-06-25,49.9258
2019-06-26,50.162710000000004
2019-06-27,50.451130000000006
2019-06-28,50.46495
2019-06-29,50.625400000000006
2019-06-30,50.56530000000001
2019-07-01,50.37820000000001
2019-07-02,50.575450000000004
2019-07-03,50.689020000000006
2019-07-04,50.449450000000006
2019-07-05,50.46398000000001
2019-07-06,50.472350000000006
2019-07-07,50.47717
2019-07-08,50.32746
2019-07-09,50.39374
2019-07-10,50.43191
2019-07-11,50.606370000000005
2019-07-12,50.706830000000004
2019-07-13,50.76467
2019-07-14,50.15693
2019-07-15,49.97907000000001
2019-07-16,50.198350000000005
2019-07-17,50.16686000000001
2019-07-18,50.30181
2019-07-19,50.531850000000006
2019-07-20,50.054030000000004
2019-07-21,49.93150000000001
2019-07-22,50.16595
2019-07-23,50.453430000000004
2019-07-24,50.46647
2019-07-25,50.473980000000005
2019-07-26,50.325810000000004
2019-07-27,50.392990000000005
2019-07-28,50.12669
2019-07-29,50.278330000000004
2019-07-30,50.36565
2019-07-31,50.41593
2019-08-01,50.59736
2019-08-02,50.549350000000004
2019-08-03,50.67419
2019-08-04,50.593590000000006
2019-08-05,50.54717
2019-08-06,50.672940000000004
2019-08-07,50.157030000000006
2019-08-08,49.972840000000005
2019-08-09,50.03951000000001
2019-08-10,50.2389
2019-08-11,50.496410000000004
2019-08-12,50.79657
2019-08-13,50.969100000000005
2019-08-14,51.06839
2019-08-15,50.97305
2019-08-16,50.61318000000001
2019-08-17,50.25348
2019-08-18,50.50383
2019-08-19,50.495490000000004
2019-08-20,50.49069
2019-08-21,50.335440000000006
2019-08-22,50.39853
2019-08-23,50.28237000000001
2019-08-24,50.36797000000001
2019-08-25,50.417260000000006
2019-08-26,50.44565000000001
2019-08-27,50.61448000000001
2019-08-28,50.711690000000004
2019-08-29,50.76767
2019-08-30,50.95239
2019-08-31,50.75377
2019-09-01,50.944390000000006
2019-09-02,50.90166000000001
2019-09-03,50.877050000000004
2019-09-04,51.015370000000004
2019-09-05,51.247510000000005
