Date,RestingBPM
2018-09-12,46.79999923706055
2018-09-13,43.34145545959473
2018-09-14,42.82774639129639
2018-09-15,42.43807792663574
2018-09-16,42.964505195617676
2018-09-17,43.4270601272583
2018-09-18,43.915879249572754
2018-09-19,43.17398166656494
2018-09-20,42.74739456176758
2018-09-21,43.013010025024414
2018-09-22,44.18811893463135
2018-09-23,44.3536376953125
2018-09-24,44.44894313812256
2018-09-25,44.50382041931152
2018-09-26,44.53541946411133
2018-09-27,44.55361461639404
2018-09-28,45.07516670227051
2018-09-29,44.86440467834473
2018-09-30,46.787349700927734
2018-10-01,46.872443199157715
2018-10-02,47.9435920715332
2018-10-03,47.02713966369629
2018-10-04,46.49944019317627
2018-10-05,45.68451118469238
2018-10-06,45.72634506225586
2018-10-07,46.77258491516113
2018-10-08,46.35286521911621
2018-10-09,45.600111961364746
2018-10-10,46.18882369995117
2018-10-11,45.505656242370605
2018-10-12,45.11228370666504
2018-10-13,44.88577651977539
2018-10-14,45.266427993774414
2018-10-15,44.974534034729004
2018-10-16,45.777503967285156
2018-10-17,45.26881504058838
2018-10-18,44.975908279418945
2018-10-19,44.29617500305176
2018-10-20,44.415855407714844
2018-10-21,44.9958438873291
2018-10-22,44.30765438079834
2018-10-23,44.422465324401855
2018-10-24,44.99965000152588
2018-10-25,44.820921897888184
2018-10-26,44.71800899505615
2018-10-27,45.16982650756836
2018-10-28,45.429986000061035
2018-10-29,46.60193920135498
2018-10-30,46.25460624694824
2018-10-31,46.56568622589111
2018-11-01,45.72265625
2018-11-02,44.72615718841553
2018-11-03,44.663442611694336
2018-11-04,44.116254806518555
2018-11-05,43.801180839538574
2018-11-06,43.61975860595703
2018-11-07,44.02637004852295
2018-11-08,43.74942398071289
2018-11-09,43.589956283569336
2018-11-10,45.03136157989502
2018-11-11,45.86133289337158
2018-11-12,45.82816028594971
2018-11-13,45.809059143066406
2018-11-14,45.28698444366455
2018-11-15,45.497446060180664
2018-11-16,45.61863136291504
2018-11-17,45.177334785461426
2018-11-18,44.92323398590088
2018-11-19,44.776920318603516
2018-11-20,44.18159580230713
2018-11-21,43.83880424499512
2018-11-22,43.641422271728516
2018-11-23,45.06099605560303
2018-11-24,45.3673210144043
2018-11-25,45.03262901306152
2018-11-26,45.35098648071289
2018-11-27,45.023223876953125
2018-11-28,44.834495544433594
2018-11-29,44.7258243560791
2018-11-30,44.152174949645996
2018-12-01,45.3550910949707
2018-12-02,46.047739028930664
2018-12-03,46.44657039642334
2018-12-04,45.65406799316406
2018-12-05,45.197739601135254
2018-12-06,45.44605827331543
2018-12-07,44.566890716552734
2018-12-08,44.57173538208008
2018-12-09,44.063448905944824
2018-12-10,43.770774841308594
2018-12-11,43.602251052856445
2018-12-12,43.50521373748779
2018-12-13,46.00471782684326
2018-12-14,45.910722732543945
2018-12-15,45.85659980773926
2018-12-16,46.33651065826416
2018-12-17,47.6349983215332
2018-12-18,48.38267707824707
2018-12-19,47.79104423522949
2018-12-20,47.450377464294434
2018-12-21,46.74314308166504
2018-12-22,46.846988677978516
2018-12-23,46.395708084106445
2018-12-24,46.64693355560303
2018-12-25,47.81374263763428
2018-12-27,46.9117546081543
2018-12-28,46.4256010055542
2018-12-29,46.151679039001465
2018-12-30,45.995079040527344
2018-12-31,45.39375972747803
2019-01-01,46.070130348205566
2019-01-02,46.459486961364746
2019-01-03,45.661489486694336
2019-01-04,45.20201015472412
2019-01-05,45.44851779937744
2019-01-06,45.59045886993408
2019-01-07,45.6721887588501
2019-01-08,45.208173751831055
2019-01-09,44.94099044799805
2019-01-10,44.78714466094971
2019-01-11,44.18748378753662
2019-01-12,44.353270530700684
2019-01-13,45.4708833694458
2019-01-14,45.09226131439209
2019-01-15,45.3853235244751
2019-01-16,45.554070472717285
2019-01-17,45.65123653411865
2019-01-18,46.729336738586426
2019-01-19,48.37226676940918
2019-01-20,48.296125411987305
2019-01-21,47.741207122802734
2019-01-22,47.42168140411377
2019-01-23,46.726619720458984
2019-01-24,46.326398849487305
2019-01-25,47.1181001663208
2019-01-26,48.08504295349121
2019-01-27,48.64181613922119
2019-01-28,47.94025802612305
2019-01-29,47.02521991729736
2019-01-30,46.498334884643555
2019-01-31,46.19495105743408
2019-02-01,46.020259857177734
2019-02-02,46.94182300567627
2019-02-03,46.96139049530029
2019-02-04,46.461581230163574
2019-02-05,47.766937255859375
2019-02-06,47.910401344299316
2019-02-07,46.769795417785645
2019-02-08,48.83194446563721
2019-02-10,48.514177322387695
2019-02-11,47.29228591918945
2019-02-12,46.64065074920654
2019-02-13,45.760650634765625
2019-02-14,46.79435729980469
2019-02-15,47.387938499450684
2019-02-16,47.72941589355469
2019-02-18,47.935248374938965
2019-02-19,48.04617786407471
2019-02-20,48.10867881774902
2019-02-21,47.632469177246094
2019-02-22,47.95259666442871
2019-02-24,48.07528781890869
2019-02-25,48.12833786010742
2019-02-26,47.63440799713135
2019-03-10,48.708913803100586
2019-03-11,49.855926513671875
2019-03-12,49.059781074523926
2019-03-13,47.61244010925293
2019-03-14,46.82594013214111
2019-03-15,47.037184715270996
2019-03-16,48.20905303955078
2019-03-17,47.66297721862793
2019-03-18,48.411845207214355
2019-03-19,48.83244037628174
2019-03-20,48.048502922058105
2019-03-21,47.59833526611328
2019-03-22,47.339359283447266
2019-03-23,46.679171562194824
2019-03-24,48.85450744628906
2019-03-25,48.573801040649414
2019-03-26,47.901092529296875
2019-03-27,47.00266742706299
2019-03-28,46.99642467498779
2019-03-29,45.97067832946777
2019-03-30,45.83502197265625
2019-03-31,46.40602779388428
