Date,BELOW_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_1,IN_DEFAULT_ZONE_2,IN_DEFAULT_ZONE_3
2019-01-20,1180.0,6.0,0.0,0.0
2019-01-21,1182.0,10.0,0.0,0.0
2019-01-22,1280.0,51.0,6.0,0.0
2019-01-23,1183.0,55.0,9.0,1.0
2019-01-24,1149.0,46.0,10.0,0.0
2019-01-25,1160.0,14.0,0.0,0.0
2019-01-26,1017.0,37.0,13.0,10.0
2019-01-27,1078.0,0.0,0.0,0.0
2019-01-28,1270.0,50.0,8.0,0.0
2019-01-29,1312.0,4.0,0.0,0.0
2019-01-30,1213.0,44.0,10.0,1.0
2019-01-31,1093.0,2.0,6.0,0.0
2019-02-01,1185.0,39.0,6.0,0.0
2019-02-02,1190.0,77.0,1.0,0.0
2019-02-03,1001.0,0.0,0.0,0.0
2019-02-04,1133.0,24.0,22.0,2.0
2019-02-05,1024.0,0.0,0.0,0.0
2019-02-06,677.0,47.0,10.0,0.0
2019-02-07,1304.0,27.0,2.0,0.0
2019-02-08,1033.0,8.0,0.0,0.0
2019-02-09,843.0,7.0,0.0,0.0
2019-02-10,1413.0,1.0,0.0,0.0
2019-02-11,1188.0,49.0,13.0,0.0
2019-02-12,1358.0,4.0,2.0,0.0
2019-02-13,1085.0,48.0,8.0,0.0
2019-02-14,1302.0,19.0,0.0,0.0
2019-02-15,1144.0,7.0,0.0,0.0
2019-02-16,1332.0,7.0,0.0,0.0
2019-02-17,808.0,27.0,7.0,0.0
2019-02-18,1203.0,55.0,15.0,2.0
2019-02-19,1044.0,12.0,2.0,0.0
2019-02-20,1310.0,53.0,9.0,0.0
2019-02-21,1108.0,9.0,0.0,0.0
2019-02-22,611.0,10.0,2.0,0.0
2019-02-23,613.0,25.0,0.0,0.0
2019-02-24,1111.0,75.0,17.0,5.0
2019-02-25,1285.0,65.0,6.0,0.0
2019-02-26,751.0,13.0,0.0,0.0
2019-03-10,353.0,20.0,0.0,0.0
2019-03-11,1191.0,38.0,8.0,0.0
2019-03-12,1028.0,11.0,0.0,0.0
2019-03-13,1058.0,63.0,7.0,0.0
2019-03-14,1017.0,54.0,7.0,3.0
2019-03-15,928.0,17.0,1.0,0.0
2019-03-16,1184.0,28.0,0.0,0.0
2019-03-17,924.0,10.0,30.0,16.0
2019-03-18,1060.0,57.0,16.0,3.0
2019-03-19,1069.0,50.0,9.0,0.0
2019-03-20,1042.0,25.0,0.0,0.0
2019-03-21,1016.0,40.0,4.0,0.0
2019-03-22,1361.0,4.0,0.0,0.0
2019-03-23,1255.0,13.0,0.0,0.0
2019-03-24,1166.0,57.0,16.0,29.0
2019-03-25,1162.0,67.0,9.0,0.0
2019-03-26,1306.0,1.0,0.0,0.0
2019-03-27,1106.0,35.0,5.0,0.0
2019-03-28,1158.0,10.0,0.0,0.0
2019-03-29,1097.0,18.0,0.0,0.0
2019-03-30,676.0,40.0,0.0,0.0
2019-03-31,982.0,64.0,17.0,0.0
2019-04-01,1271.0,28.0,6.0,1.0
2019-04-02,1292.0,12.0,0.0,0.0
2019-04-03,1139.0,41.0,3.0,0.0
2019-04-04,1026.0,8.0,3.0,0.0
2019-04-05,1112.0,9.0,0.0,0.0
2019-04-06,605.0,81.0,38.0,5.0
2019-04-07,1350.0,39.0,2.0,0.0
2019-04-08,1294.0,55.0,12.0,0.0
2019-04-09,1128.0,35.0,7.0,2.0
2019-04-10,1084.0,2.0,0.0,0.0
2019-04-11,1159.0,39.0,1.0,0.0
2019-04-12,1315.0,0.0,0.0,0.0
2019-04-13,1233.0,73.0,9.0,3.0
2019-04-14,1297.0,8.0,0.0,0.0
2019-04-15,1254.0,41.0,0.0,0.0
