Date,LightActiveMinutes
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-01,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,68
,83
,0
,0
,0
,0
,0
,0
,0
,0
,134
,121
,98
,73
,104
,124
,161
,134
,116
,109
,99
,117
,127
,72
,144
,117
,116
,107
,72
,133
,72
,133
,133
,75
,162
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,122
,75
,138
,73
,94
,84
,116
,73
,75
,72
,95
,51
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,34
,118
,100
,83
,86
,96
,99
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,105
,71
,132
,142
,125
,111
,129
,217
,159
,73
,214
,193
,111
,80
,168
,114
,122
,135
,107
,128
,80
,108
,123
,48
,111
,120
,115
,114
,116
,131
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,169
,117
,160
,148
,77
,111
,172
,101
,188
,192
,171
,183
,163
,163
,85
,83
,105
,81
,163
,23
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,92
,42
,89
,99
,101
,129
,116
,106
,117
,77
,128
,109
,96
,145
,74
,59
,111
,115
,120
,119
,111
,114
,170
,117
,136
,117
,138
,134
,46
,115
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,98
,145
,120
,107
,156
,90
,120
,171
,113
,93
,92
,113
,82
,106
,107
,149
,91
,97
,180
,121
,94
,100
,142
,142
,280
,150
,152
,96
,150
,98
,115
,144
,109
,85
,216
,218
,194
,138
,113
,133
,85
,107
,114
,114
,200
,114
,150
,109
,127
,56
,113
,100
,123
,100
,132
,137
,116
,77
,161
,224
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
