Date,BPM
2018-09-13,58.234130150320745
2018-09-14,56.55501797533851
2018-09-15,57.477950637501465
2018-09-16,66.7541626710836
2018-09-17,54.14210357486545
2018-09-18,62.44746682550713
2018-09-19,52.537297723983684
2018-09-20,55.677683191453845
2018-09-21,52.121194048590624
2018-09-22,60.584568235082024
2018-09-23,47.466451381413705
2018-09-24,57.244062779651685
2018-09-25,56.30416881111683
2018-09-26,52.60912951167728
2018-09-27,55.338389085116695
2018-09-28,51.26236843070378
2018-09-29,53.943191385651616
2018-09-30,57.11375426621161
2018-10-01,57.86533303170346
2018-10-02,57.348903746536564
2018-10-03,53.38345428156749
2018-10-04,53.933241252302025
2018-10-05,53.887392900856796
2018-10-06,57.96305291237011
2018-10-07,54.16403462285815
2018-10-08,57.497710013887655
2018-10-09,58.8946129620421
2018-10-10,55.79918158567775
2018-10-11,55.919713405651535
2018-10-12,50.749124501871755
2018-10-13,54.1018840378198
2018-10-14,57.44375958643413
2018-10-15,53.00126131953428
2018-10-16,54.018896762539946
2018-10-17,49.86754300551769
2018-10-18,48.6754233154484
2018-10-19,54.348621765700166
2018-10-20,56.8050604917393
2018-10-21,56.21138901586887
2018-10-22,54.72449903038138
2018-10-23,55.836340333234745
2018-10-24,50.83828200014772
2018-10-25,54.892320342049004
2018-10-26,56.753612646688005
2018-10-27,50.3653097809453
2018-10-28,57.972815671800696
2018-10-29,55.60851527723102
2018-10-30,52.04167146752698
2018-10-31,57.84026436952325
2018-11-01,55.44223907225691
2018-11-02,54.35321469775898
2018-11-03,52.63812671217985
2018-11-04,48.30800666950012
2018-11-05,55.40751993923281
2018-11-06,54.627127011815816
2018-11-07,52.2702434177844
2018-11-08,53.63682421995675
2018-11-09,51.38600727866399
2018-11-10,56.49389821864413
2018-11-11,58.10601915184679
2018-11-12,56.29603776766144
2018-11-13,52.16701430819336
2018-11-14,52.86274222391604
2018-11-15,53.75621220089403
2018-11-16,51.42261154095232
2018-11-17,49.77087569694982
2018-11-18,54.10829128144683
2018-11-19,53.04825128603041
2018-11-20,52.46350245499182
2018-11-21,49.15965125419853
2018-11-22,51.614195632113194
2018-11-23,51.86089429609733
2018-11-24,49.581059118304324
2018-11-25,55.041231276059094
2018-11-26,48.88634994578531
2018-11-27,59.35385666019697
2018-11-28,55.23697551864452
2018-11-29,51.479234355134906
2018-11-30,53.57451700353454
2018-12-01,51.9108824173418
2018-12-02,56.46465229663844
2018-12-03,54.66838797249845
2018-12-04,54.201535166012135
2018-12-05,51.831436401741094
2018-12-06,55.792128164556964
2018-12-07,52.03289168598874
2018-12-08,48.15565774804905
2018-12-09,49.56575596202825
2018-12-10,54.21618321618322
2018-12-11,55.973234686105975
2018-12-12,52.46510102335345
2018-12-13,56.88910457107076
2018-12-14,56.32193297752605
2018-12-15,48.82305366887833
2018-12-16,56.708817057439866
2018-12-17,59.49852598913887
2018-12-18,54.566725700593814
2018-12-19,61.965541211519366
2018-12-20,59.53314403211593
2018-12-21,60.26047904191617
2018-12-22,52.0049388523048
2018-12-23,46.91806668389765
2018-12-24,63.15943238731219
2018-12-25,53.50813953488372
2018-12-26,54.21079136690648
2018-12-27,63.69228565972885
2018-12-28,60.73589767185056
2018-12-29,72.59800336068004
2018-12-30,51.31200776782824
2018-12-31,60.241822038629
2019-01-01,55.44158361018826
2019-01-02,61.50445859872612
2019-01-03,62.92493193309996
2019-01-04,55.51428858925337
2019-01-05,47.88353792886371
2019-01-06,65.7372704278016
2019-01-07,59.33031550068587
2019-01-08,51.386212624584715
2019-01-09,61.51732505095603
2019-01-10,50.54560240210184
2019-01-11,57.95161290322581
2019-01-12,48.990328594733164
2019-01-13,49.93120322394934
2019-01-14,68.71584348941629
2019-01-15,53.46818181818182
2019-01-16,64.3009438009438
2019-01-17,62.96544817225839
2019-01-18,52.80991299762721
2019-01-19,53.321614583333336
2019-01-20,50.55587327004461
2019-01-21,54.22603619381203
2019-01-22,63.5247109382994
2019-01-23,62.59416626154594
2019-01-24,63.98465501792115
2019-01-25,55.33458101907752
2019-01-26,64.2331441229406
2019-01-27,51.07283250934523
2019-01-28,61.5714940001832
2019-01-29,50.92911990549321
2019-01-30,62.027417982414676
2019-01-31,53.837536372453926
2019-02-01,62.85092333519866
2019-02-02,59.566090286642684
2019-02-03,49.847417840375584
2019-02-04,66.15404819001941
2019-02-05,55.4285416232005
2019-02-06,77.54479697517672
2019-02-07,56.82004877422667
2019-02-08,56.82675296655879
2019-02-09,54.365882632454266
2019-02-10,52.021920668058456
2019-02-11,64.20747087705786
2019-02-12,52.48457197742826
2019-02-13,61.15214209036791
2019-02-14,57.48268372149149
2019-02-15,55.19945817812394
2019-02-16,48.50693430656934
2019-02-17,63.4696191319752
2019-02-18,69.66755942417142
2019-02-19,56.904761904761905
2019-02-20,64.50349731872231
2019-02-21,52.0773756660746
2019-02-22,62.920656951191305
2019-02-23,60.15187004155648
2019-02-24,68.58525079426205
2019-02-25,62.709237388995696
2019-02-26,56.7584284937466
2019-03-10,72.09355131698456
2019-03-11,64.69920071047957
2019-03-12,52.78627008032129
2019-03-13,68.06091221186857
2019-03-14,66.97185763273028
2019-03-15,61.557724252491695
2019-03-16,54.061901090428464
2019-03-17,69.5362111558965
2019-03-18,69.15676141257536
2019-03-19,67.13244134186543
2019-03-20,53.94308480364257
2019-03-21,61.86571361612374
2019-03-22,53.20294742100662
2019-03-23,49.83651685393259
2019-03-24,74.68020351526364
2019-03-25,68.13203481143805
2019-03-26,50.57272840583323
2019-03-27,60.53526133743274
2019-03-28,51.80581705774905
