Date,Distance
2019-08-27,674600
2019-08-28,320520
2019-08-29,319680
2019-08-30,171060
2019-08-31,1229040
2019-09-01,613710
2019-09-02,1053570
2019-09-03,178720
2019-09-04,341920
2019-09-05,79160
